acticity_id,practice_id,description,capability_lvl
86,"""EDM05.03""","""Determine whether the requirements of different stakeholders are met and assess stakeholder engagement levels.""",4
87,"""APO01.01""","""Obtain an understanding of the enterprise vision, direction and strategy as well as the current enterprise context and challenges.""",2
88,"""APO01.01""","""Consider the enterprise’s internal environment, including management culture and philosophy, risk tolerance, security and privacy policy, ethical values, code of conduct, accountability, and requirements for management integrity.""",2
89,"""APO01.01""","""Apply the COBIT goals cascade and design factors to the enterprise strategy and context to decide on priorities for the management system and, thus, for implementation of management objective priorities.""",2
90,"""APO01.01""","""Validate selected priorities for implementation of management objectives with industry-specific good practices or requirements (e.g., industry-specific regulations) and with appropriate governance structures.""",3
91,"""APO01.02""","""Provide sufficient and skilled resources to support the communication process.""",2
92,"""APO01.02""","""Define ground rules for communication by identifying communication needs and implementing plans based on those needs, considering top-down, bottom-up and horizontal communication.""",3
93,"""APO01.02""","""Continuously communicate I&T objectives and direction. Ensure that communication is supported by executive management in actions and words, using all available channels.""",3
94,"""APO01.02""","""Ensure the information communicated encompasses a clearly articulated mission, service objectives, internal controls, quality, code of ethics/conduct, policies and procedures, roles and responsibilities, etc. Communicate the information at the appropriate level of detail for respective audiences within the enterprise.""",3
95,"""APO01.03""","""Develop the I&T governance target process model specific to the organization, based on the selection of priority management objectives (output of goals cascade and design factors exercise).""",2
96,"""APO01.03""","""Analyze the gap between the target process model for the organization and current practices and activities.""",3
97,"""APO01.03""","""Draft a road map for implementation of missing process practices and activities. Use practice metrics to follow up on successful implementation.""",4
98,"""APO01.04""","""Identify decisions required for the achievement of enterprise outcomes and the I&T strategy and for the management and execution of I&T services.""",2
99,"""APO01.04""","""Involve stakeholders who are critical to decision making (accountable, responsible, consulted or informed).""",2
100,"""APO01.04""","""Define the scope, focus, mandate and responsibilities of each function within the I&T-related organization, in line with governance direction.""",2
101,"""APO01.04""","""Define the scope of internal and external functions, internal and external roles, and capabilities and decision rights required to cover all practices, including those performed by third parties.""",3
102,"""APO01.04""","""Align the I&T-related organization with enterprise architecture organizational models.""",3
103,"""APO01.04""","""Establish an I&T steering committee (or equivalent) composed of executive, business and I&T management to track status of projects, resolve resource conflicts, and monitor service levels and service improvements.""",3
104,"""APO01.04""","""Provide guidelines for each management structure (including mandate, objectives, meeting attendees, timing, tracking, supervision and oversight) as well as required inputs for and expected outcomes of meetings.""",3
105,"""APO01.04""","""Regularly verify the adequacy and effectiveness of the organizational structures.""",4
106,"""APO01.05""","""Establish, agree on and communicate I&T-related roles and responsibilities for all personnel in the enterprise, in alignment with business needs and objectives. Clearly delineate responsibilities and accountabilities, especially for decision making and approvals.""",2
107,"""APO01.05""","""Consider requirements from enterprise and I&T service continuity when defining roles, including staff back-up and cross-training requirements.""",2
108,"""APO01.05""","""Provide input to the I&T service continuity process by maintaining up-to-date contact information and role descriptions in the enterprise.""",2
109,"""APO01.05""","""Include specific requirements in role and responsibility descriptions regarding adherence to management policies and procedures, the code of ethics, and professional practices.""",2
110,"""APO01.05""","""Ensure that accountability is defined through roles and responsibilities.""",2
111,"""APO01.05""","""Structure roles and responsibilities to reduce the possibility for a single role to compromise a critical process.""",2
112,"""APO01.05""","""Implement adequate supervisory practices to ensure that roles and responsibilities are properly exercised, to assess whether all personnel have sufficient authority and resources to execute their roles and responsibilities, and generally to review performance. The level of supervision should be aligned with the sensitivity of the position and extent of assigned responsibilities.""",3
113,"""APO01.06""","""Understand context for the placement of the IT function, including assessment of enterprise strategy and operating model (centralized, federated, decentralized, hybrid), importance of I&T, and sourcing situation and options.""",3
114,"""APO01.06""","""Identify, evaluate and prioritize options for organizational placement, sourcing and operating models.""",3
115,"""APO01.06""","""Define placement of the IT function and obtain agreement.""",3
116,"""APO01.07""","""Provide guidelines to ensure appropriate and consistent enterprisewide classification of information items.""",3
117,"""APO01.07""","""Create and maintain an inventory of information (systems and data) that includes a listing of owners, custodians and classifications. Include systems that are outsourced and those for which ownership should stay within the enterprise.""",3
118,"""APO01.07""","""Assess and distinguish between critical (high value) and noncritical data, information and systems. Ensure appropriate protection for each category.""",3
119,"""APO01.08""","""Identify the required skills and competencies to achieve selected management objectives.""",2
120,"""APO01.08""","""Analyze the gap between target skills and capabilities for the enterprise and current skills of the workforce. Refer to APO07—Managed Human Resources for skills development and management practices.""",2
121,"""APO01.09""","""Create a set of policies to drive IT control expectations on relevant key topics such as quality, security, privacy, internal controls, usage of I&T assets, ethics and intellectual property (IP) rights.""",3
122,"""APO01.09""","""Roll out and enforce I&T policies uniformly for all relevant staff so they are built into, and become integral parts of, enterprise operations.""",3
123,"""APO01.09""","""Evaluate and update the policies at least yearly to accommodate changing operating or business environments.""",4
124,"""APO01.10""","""Identify priority management objectives that may be achieved by automating services, applications or infrastructure.""",2
125,"""APO01.10""","""Select and implement the most appropriate tools and communicate to stakeholders.""",2
126,"""APO01.10""","""Provide training on selected tools, as required.""",2
127,"""APO01.11""","""Regularly assess performance of framework components and take appropriate action.""",4
128,"""APO01.11""","""Identify business-critical processes based on performance and conformance drivers and related risk. Assess capability and identify improvement targets. Analyze gaps in capability and control. Identify options for improving or redesigning the process.""",4
129,"""APO01.11""","""Prioritize initiatives for improvement based on potential benefits and costs. Implement agreed improvements, operate as normal business practice, and set performance goals and metrics to enable monitoring of improvements.""",5
130,"""APO01.11""","""Consider ways to improve efficiency and effectiveness (e.g., through training, documentation, standardization and/or process automation).""",5
131,"""APO01.11""","""Apply quality management practices to update the process.""",5
132,"""APO01.11""","""Retire outdated governance components (processes, information items, policies, etc.).""",5
133,"""APO02.01""","""Develop and maintain an understanding of the external environment of the enterprise.""",2
134,"""APO02.01""","""Develop and maintain an understanding of the current way of working, including the operational environment, enterprise architecture (business, information, data, applications and technology domains), enterprise culture and current challenges.""",2
135,"""APO02.01""","""Develop and maintain an understanding of future enterprise direction, including enterprise strategy, goals and objectives. Understand the ambition level of the enterprise in terms of digitization, which may include a range of increasingly aspirational goals, from cutting costs, increasing customer centricity, or getting to market faster by digitizing internal operations, to creating entirely new revenue streams from new business models (e.g., platform business).""",2
136,"""APO02.01""","""Identify key stakeholders and obtain insight on their requirements.""",2
137,"""APO02.02""","""Develop a baseline of current business and I&T capabilities and services. Include assessment of externally provisioned services, governance of I&T, and enterprisewide I&T-related skills and competencies.""",2
138,"""APO02.02""","""Assess digital maturity across different dimensions (e.g., ability of leadership to leverage technology, level of accepted technology risk, approach to innovation, culture and knowledge level of users). Assess appetite for change.""",3
139,"""APO02.03""","""Summarize enterprise context and direction and identify specific I&T aspects of enterprise strategy (e.g., digitizing processes, implementing new technology, supporting legacy architecture, applying new digital business models, developing digital product portfolio, etc.).""",2
140,"""APO02.03""","""Define high-level I&T objectives and goals and specify their contribution to enterprise objectives.""",2
141,"""APO02.03""","""Detail required I&T services and products to realize enterprise objectives. Consider validated emerging technology or innovation ideas, reference standards, competitor business and I&T capabilities, comparative benchmarks of good practice, and emerging I&T service provision.""",3
142,"""APO02.03""","""Determine I&T capabilities, methodologies and organizational approaches required to realize the defined I&T product and service portfolio. Consider different development methodologies (Agile, scrum, waterfall, bimodal IT), depending on business requirements. Consider how each could help realize I&T objectives.""",3
143,"""APO02.04""","""Identify all gaps and changes required to realize the target environment.""",3
144,"""APO02.04""","""Describe high-level changes in enterprise architecture (business, information, data, applications and technology domains).""",3
145,"""APO02.04""","""Consider the high-level implications of all gaps. Assess the impact of potential changes on business and I&T operating models, I&T research and development capabilities, and I&T investment programs.""",3
146,"""APO02.04""","""Consider the value of potential changes to business and IT capabilities, I&T services and enterprise architecture, and the implications if no changes are realized.""",4
147,"""APO02.04""","""Refine the target environment definition and prepare a value statement outlining benefits of the target environment.""",4
148,"""APO02.05""","""Define initiatives required to close gaps between current and target environments. Integrate initiatives into a coherent I&T strategy that aligns I&T with all aspects of the business.""",3
149,"""APO02.05""","""Detail a road map that defines the incremental steps required to achieve the goals and objectives of the I&T strategy. Ensure actions are included to train people with new skills, support adoption of new technology, sustain change throughout the organization, etc.""",3
150,"""APO02.05""","""Consider the external ecosystem (enterprise partners, suppliers, start-ups, etc.) to help support execution of the road map.""",3
151,"""APO02.05""","""Group actions into programs and/or projects with a clear goal or deliverable. For each project, identify high-level resource requirements, schedule, investment/operational budget, risk, change impact, etc.""",3
152,"""APO02.05""","""Determine dependencies, overlaps, synergies and impacts among projects, and prioritize.""",3
153,"""APO02.05""","""Finalize road map, indicating relative scheduling and interdependencies of projects.""",3
154,"""APO02.05""","""Ensure focus on the transformation journey. Appoint a champion of digital transformation and alignment between business and I&T (chief digital officer [CDO] or other traditional C-suite role).""",3
155,"""APO02.05""","""Obtain support and formal approval of plan from stakeholders.""",3
156,"""APO02.05""","""Translate objectives into measurable outcomes represented by metrics (what) and targets (how much). Ensure that outcomes and measures correlate to enterprise benefits.""",4
157,"""APO02.06""","""Develop a communication plan covering the required messages, target audiences, communication mechanisms/channels and schedules.""",3
158,"""APO02.06""","""Prepare a communication package that delivers the plan effectively, using available media and technologies.""",3
159,"""APO02.06""","""Develop and maintain a network for endorsing, supporting and driving the I&T strategy.""",3
160,"""APO02.06""","""Obtain feedback and update the communication plan and delivery as required.""",4
161,"""APO03.01""","""Identify key stakeholders and their concerns/objectives. Define key enterprise requirements to be addressed as well as architecture views to be developed to satisfy stakeholder requirements.""",2
162,"""APO03.01""","""Identify enterprise goals and strategic drivers. Define constraints that must addressed, including both enterprisewide and project-specific constraints (e.g., time, schedule, resources, etc.).""",2
163,"""APO03.01""","""Align architecture objectives with strategic program priorities.""",2
164,"""APO03.01""","""Understand enterprise capabilities and goals, then identify options to realize those goals.""",2
165,"""APO03.01""","""Assess the enterprise’s readiness for change.""",2
166,"""APO03.01""","""Define scope of baseline architecture and target architecture. Enumerate items that are in scope as well as those out of scope. (Baseline and target architecture need not be described at the same level of detail.)""",2
167,"""APO03.01""","""Understand current enterprise strategic goals and objectives. Work within the strategic planning process to ensure that I&T-related enterprise architecture opportunities are leveraged in the development of the strategic plan.""",2
168,"""APO03.01""","""Based on stakeholder concerns, business capability requirements, scope, constraints and principles, create the architecture vision (i.e., the high-level view of baseline and target architectures).""",2
169,"""APO03.01""","""Confirm and elaborate architecture principles, including enterprise principles. Ensure that any existing definitions are current. Clarify any areas of ambiguity.""",3
170,"""APO03.01""","""Identify enterprise change risk associated with the architecture vision. Assess the initial level of risk (e.g., critical, marginal or negligible). Develop a mitigation strategy for each significant risk.""",3
171,"""APO03.01""","""Develop an enterprise architecture concept business case and outline plans and statement of architecture work. Secure approval to initiate a project aligned and integrated with the enterprise strategy.""",3
172,"""APO03.01""","""Define the target architecture value propositions, goals and metrics.""",4
173,"""APO03.02""","""Maintain an architecture repository containing standards, reusable components, modeling artifacts, relationships, dependencies and views, to enable uniformity of architectural organization and maintenance.""",3
174,"""APO03.02""","""Select reference viewpoints from the architecture repository that enable the architect to demonstrate how stakeholder concerns are addressed in the architecture.""",3
175,"""APO03.02""","""For each viewpoint, select models needed to support the specific view required. Use selected tools or methods and the appropriate level of decomposition.""",3
176,"""APO03.02""","""Develop baseline architectural domain descriptions, using the scope and level of detail necessary to support the target architecture and, to the extent possible, identifying relevant architecture building blocks from the architecture repository.""",3
177,"""APO03.02""","""Maintain a process architecture model as part of the baseline and target domain descriptions. Standardize the descriptions and documentation of processes. Define the roles and responsibilities of the process decision makers, process owner, process users, process team and any other process stakeholders who should be involved.""",3
178,"""APO03.02""","""Maintain an information architecture model as part of baseline and target domain descriptions, consistent with enterprise strategy to acquire, store and use data optimally in support of decision making.""",3
179,"""APO03.02""","""Verify architecture models for internal consistency and accuracy. Perform a gap analysis between baseline and target. Prioritize gaps and define new or modified components that must be developed for the target architecture. Resolve incompatibilities, inconsistencies or conflicts within the target architecture.""",3
180,"""APO03.02""","""Conduct a formal stakeholder review by vetting proposed architecture against the original intent of the architecture project and the statement of architecture work.""",3
181,"""APO03.02""","""Finalize business, information, data, applications and technology domain architectures. Create an architecture definition document.""",3
182,"""APO03.03""","""Determine and confirm key enterprise change attributes. Consider enterprise culture, the potential impact of culture on implementation of architecture and the enterprise’s capabilities for transition.""",3
183,"""APO03.03""","""Identify any enterprise drivers that would constrain the sequence of implementation. Include a review of enterprise and line-of-business strategic and business plans. Consider current enterprise architecture maturity.""",3
184,"""APO03.03""","""Review and consolidate results of the gap analysis between baseline and target architectures. Assess implications with respect to potential solutions, opportunities, interdependencies and alignment with current I&T-enabled programs.""",3
185,"""APO03.03""","""Assess requirements, gaps, solutions and other factors to identify a minimal set of functional requirements whose integration into work packages would lead to a more efficient and effective implementation of target architecture.""",3
186,"""APO03.03""","""Reconcile the consolidated requirements with potential solutions.""",3
187,"""APO03.03""","""Refine initial dependencies and identify constraints on implementation and migration plans. Compile a dependency analysis report.""",3
188,"""APO03.03""","""Confirm the enterprise’s readiness for, and the risk associated with, enterprise transformation.""",3
189,"""APO03.03""","""Formulate high-level strategy for implementation and migration. Implement target architecture (and arrange any transition architecture) according to overall enterprise strategy, objectives and timelines.""",3
190,"""APO03.03""","""Identify and group major work packages into a coherent set of programs and projects, respecting the direction and approach to enterprise strategic implementation.""",3
191,"""APO03.03""","""Develop transition architectures where the scope of change required by the target architecture necessitates an incremental approach.""",3
192,"""APO03.04""","""Establish items required in the implementation and migration plan as part of program and project planning. Ensure that the plan aligns with requirements of relevant decision makers.""",3
193,"""APO03.04""","""Confirm increments and phases of the transition architecture. Update the architecture definition document.""",3
194,"""APO03.04""","""Define and complete the architecture implementation and migration plan, including relevant governance requirements. Integrate the plan, activities and dependencies into program and project planning.""",3
195,"""APO03.04""","""Communicate the defined architectural road map to relevant stakeholders. Inform stakeholders about the target architecture definition, architecture guidelines and principles, service portfolio, etc.""",3
196,"""APO03.05""","""Confirm scope and priorities and provide guidance for solution development and deployment (e.g., by using service-oriented architecture).""",3
197,"""APO03.05""","""Manage enterprise architecture requirements and support business and IT with advice and expertise on architectural principles, models and building blocks. Guarantee that new implementations (as well as changes to current architecture) align with enterprise architecture principles and requirements.""",3
198,"""APO03.05""","""Manage portfolio of enterprise architecture services and ensure alignment with strategic objectives and solution development.""",3
199,"""APO03.05""","""Identify enterprise architecture priorities. Align priorities to value drivers. Define and collect value metrics and measure and communicate the value of enterprise architecture.""",4
200,"""APO03.05""","""Establish a technology forum to provide architectural guidelines, advise projects and guide selection of technology. Measure compliance with standards and guidelines, including compliance with external requirements and internal business relevance.""",5
201,"""APO04.01""","""Create an innovation plan that includes risk appetite, a proposed budget for innovation initiatives and innovation objectives.""",2
202,"""APO04.01""","""Provide infrastructure that can be a governance component for innovation (e.g., collaboration tools for enhancing work between geographic locations and/or divisions).""",2
203,"""APO04.01""","""Maintain a program-enabling staff to submit innovation ideas and create an appropriate decision-making structure to assess and move ideas forward.""",3
204,"""APO04.01""","""Encourage innovation ideas from customers, suppliers and business partners.""",3
205,"""APO04.02""","""Maintain an understanding of industry and business drivers, enterprise and I&T strategy, and enterprise operations and current challenges. Apply the understanding to identify potential value-add technology and innovate I&T.""",2
206,"""APO04.02""","""Conduct regular meetings with business units, divisions and/or other stakeholder entities to understand current business problems, process bottlenecks or other constraints where emerging technologies or I&T innovation can create opportunities.""",3
207,"""APO04.02""","""Understand enterprise investment parameters for innovation and new technology so appropriate strategies are developed.""",3
208,"""APO04.03""","""Understand enterprise appetite and potential for technology innovation. Focus awareness efforts on the most opportune technology innovations.""",2
209,"""APO04.03""","""Set up a technology watch process and perform research and scanning of the external environment, including appropriate websites, journals and conferences, to identify emerging technologies and their potential value to the enterprise.""",2
210,"""APO04.03""","""Consult third-party experts as necessary to confirm research or supply information on emerging technologies.""",2
211,"""APO04.03""","""Capture I&T-innovation ideas from staff and review for potential implementation.""",2
212,"""APO04.04""","""Evaluate identified technologies, considering aspects such as time to reach maturity, inherent risk (including potential legal implications), fit with enterprise architecture and value potential, in line with enterprise and I&T strategy.""",2
213,"""APO04.04""","""Identify issues that may need to be resolved or validated through a proof-of-concept initiative.""",3
214,"""APO04.04""","""Scope the proof-of-concept initiative, including desired outcomes, required budget, time frames and responsibilities.""",3
215,"""APO04.04""","""Obtain approval for the proof-of-concept initiative.""",3
216,"""APO04.04""","""Conduct proof-of-concept initiatives to test emerging technologies or other innovation ideas. Identify issues and determine whether implementation or rollout should be considered based on feasibility and potential ROI.""",3
217,"""APO04.05""","""Document proof-of-concept results, including guidance and recommendations for trends and innovation programs.""",3
218,"""APO04.05""","""Communicate viable innovation opportunities into the I&T strategy and enterprise architecture processes.""",3
219,"""APO04.05""","""Analyze and communicate reasons for rejected proof-of-concept initiatives.""",3
220,"""APO04.05""","""Follow up on proof-of-concept initiatives to measure actual investment.""",4
221,"""APO04.06""","""Capture lessons learned and opportunities for improvement.""",3
222,"""APO04.06""","""Ensure that innovation initiatives align with enterprise and I&T strategy. Monitor alignment continuously. Adjust innovation plan, if required.""",3
223,"""APO04.06""","""Assess new technology or I&T innovations implemented as part of I&T strategy and enterprise architecture development. Evaluate level of adoption during program management of initiatives.""",4
224,"""APO04.06""","""Identify and assess potential value of innovation.""",4
