guidance_id,guidance,reference
117,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.15 Program management (PM-32)"""
118,"""COSO Enterprise Risk Management, June 2017""","""8. Performance—Principle 14"""
119,"""HITRUST CSF version 9, September 2017""","""03.01 Risk Management Program"""
120,"""COSO Enterprise Risk Management, June 2017""","""8. Performance—Principle 13"""
121,"""ISF, The Standard of Good Practice for Information Security 2016""","""IR2.9 Risk Treatment"""
122,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""6.1 Action to address risk and opportunities"""
123,"""ISO/IEC 27005:2011(E)""","""9. Information security risk treatment"""
124,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.6 Authorization (Task 4)"""
125,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.15 Program management (PM-9, PM-31)"""
126,"""HITRUST CSF version 9, September 2017""","""0.01 Information Security Management program"""
127,"""ISO/IEC 20000-1:2011(E)""","""6.6 Information security management"""
128,"""ITIL V3, 2011""","""Service Design, 4.7 Information Security Management"""
129,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.3 Selection (Task 1); 3.4 Implementation (Task 1)"""
130,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.17 Risk assessment (RA-2)"""
131,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.3 Selection (Task 3)"""
132,"""CMMI Data Management Maturity Model, 2014""","""Data Management Strategy - Data Management Strategy; Data Governance—Governance Management"""
133,"""ITIL V3, 2011""","""Service Design, 5.2 Management of Data and Information"""
134,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 13: Data Protection"""
135,"""CMMI Data Management Maturity Model, 2014""","""Data Governance - Business Glossary"""
136,"""ISF, The Standard of Good Practice for Information Security 2016""","""IM1.1 Information Classification and Handling"""
137,"""CMMI Data Management Maturity Model, 2014""","""Data Governance—Metadata Management"""
138,"""CMMI Cybermaturity Platform, 2018""","""DP.DR Safeguard Data at Rest; DP.DT Safeguard Data in Transit; DP.IP Integrity and Data Leak Prevention"""
139,"""CMMI Data Management Maturity Model, 2014""","""Data Quality - Data Quality Strategy"""
140,"""CMMI Data Management Maturity Model, 2014""","""Data Quality—Data Profiling"""
141,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5, August 2017""","""3.20 System and information integrity (SI-1)"""
142,"""CMMI Data Management Maturity Model, 2014""","""Data Quality—Data Quality Assessment"""
143,"""CMMI Data Management Maturity Model, 2014""","""Data Quality—Data Cleansing"""
144,"""CMMI Data Management Maturity Model, 2014""","""Data Operations—Data Lifecycle Management"""
145,"""CMMI Data Management Maturity Model, 2014""","""Platform and Architecture—Historical Data, Retention and Archiving"""
146,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 10: Data Recovery Capability"""
147,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 10. Project communications management"""
148,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""RS.IM Improvements"""
149,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.1 Specifications of Requirements"""
150,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""14.1 Security requirements of information systems"""
151,"""ITIL V3, 2011""","""Service Design, 5.1 Requirements engineering"""
152,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 5. Project scope management"""
153,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.2 System Design"""
154,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD1.2 System Development Environments"""
155,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""14.2 Security in development and support processes"""
156,"""ITIL V3, 2011""","""Service Strategy, 5.5 IT service strategy and application development"""
157,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.18 System and services acquisition (SA-3)"""
158,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.3 Software Acquisition"""
159,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""3.4 Buying Decisions"""
160,"""National Institute of Standards and Technology Special Publication 800- 53, Revision 5 (Draft), August 2017""","""3.18 System and services acquisition (SA-4)"""
161,"""HITRUST CSF version 9, September 2017""","""10.05 Security in Development & Support Processes"""
162,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.4 System Build"""
163,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD1.3 Quality Assurance"""
164,"""CMMI Cybermaturity Platform, 2018""","""AD.DE Safeguard Development Environment"""
165,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.10 Maintenance (MA-2, MA-3)"""
166,"""CMMI Cybermaturity Platform, 2018""","""AD.ST Secure Development Testing"""
167,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.5 System Testing; SD2.6 Security Testing"""
168,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.18 System and services acquisition (SA-11)"""
169,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD2.9 Post-implementation Review"""
170,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""14.3 Test data"""
171,"""ISF, The Standard of Good Practice for Information Security 2016""","""SD1.1 System Development Methodology"""
172,"""CMMI Cybermaturity Platform, 2018""","""DP.CP Capacity Planning"""
173,"""ISF, The Standard of Good Practice for Information Security 2016""","""SY2.2 Performance and Capacity Management"""
174,"""ISO/IEC 20000-1:2011(E)""","""6.5 Capacity management"""
175,"""ITIL V3, 2011""","""Service Design, 4.4 Availability Management; 4.5 Capacity Management"""
176,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.14 Planning (PL-10, PL-11)"""
177,"""ISO/IEC 20000-1:2011(E)""","""6.3 Service continuity and availability management"""
178,"""ISO/IEC 20000-1:2011(E)""","""5. Design and transition of new changed services"""
179,"""PROSCI® 3-Phase Change Management Process""","""Phase 1. Preparing for change—Define your change management strategy"""
180,"""PROSCI® 3-Phase Change Management Process""","""Phase 1. Preparing for change—Prepare your change management team"""
181,"""PROSCI® 3-Phase Change Management Process""","""Phase 2. Managing change"""
182,"""PROSCI® 3-Phase Change Management Process""","""Phase 3. Reinforcing change"""
183,"""ISF, The Standard of Good Practice for Information Security 2016""","""SY2.4 Change Management"""
184,"""ISO/IEC 20000-1:2011(E)""","""9.2 Change management"""
185,"""ITIL V3, 2011""","""Service Transition, 4.2 Change Management"""
186,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.6 Perform Integrated Change Control"""
187,"""CMMI Cybermaturity Platform, 2018""","""IP.CC Apply Change Control"""
188,"""ITIL V3, 2011""","""Service Transition, 4.1 Transition Planning and Support"""
189,"""ITIL V3, 2011""","""Service Transition, 4.5 Service Validation and Testing"""
190,"""ISO/IEC 20000-1:2011(E)""","""9.3 Release and deployment management"""
191,"""ITIL V3 2011""","""Service Transition, 4.4 Release and Deployment Management"""
192,"""ITIL V3, 2011""","""Service Transition, 4.6 Change Evaluation"""
193,"""COSO Enterprise Risk Management, June 2017""","""10. Information, Communication, and Reporting - Principle 18"""
194,"""CMMI Cybermaturity Platform, 2018""","""PP.IS Apply Information Sharing; IR.ES Ensure Information sharing"""
195,"""ITIL V3, 2011""","""Service Transition, 4.7 Knowledge Management"""
196,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.4 Manage project knowledge"""
197,"""CMMI Cybermaturity Platform, 2018""","""RI.AD Asset Discovery & Identification"""
198,"""ISF, The Standard of Good Practice for Information Security 2016""","""BA1.1 Business Application Register"""
199,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""8.1 Responsibility for assets"""
200,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.13 Physical and environmental protection (PE-9)"""
201,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 1: Inventory of Authorized and Unauthorized Devices;
CSC 2: Inventory of Authorized and Unauthorized Software"""
202,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""ID.AM Asset Management"""
203,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.13 Physical and environmental protection (PE-20)"""
204,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes - Configuration Management"""
205,"""ISF, The Standard of Good Practice for Information Security 2016""","""SY1 System Configuration"""
206,"""ISO/IEC 20000-1:2011(E)""","""9.1 Configuration management"""
207,"""ITIL V3, 2011""","""Service Transition, 4.3 Service Asset and Configuration Management"""
208,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.5 Configuration management (CM-6)"""
209,"""CMMI Cybermaturity Platform, 2018""","""IP.CB Apply Configuration Baselines"""
210,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.4 Implementation (Task 2)"""
211,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.19 System and service acquisition (SA-10)"""
212,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.5 Configuration management (CM-2)"""
213,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.5 Configuration management (CM-3)"""
214,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.5 Configuration management (CM-4)"""
215,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.15 Program management (PM-2)"""
216,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.1 Develop project charter; Part 1: 6. Project schedule management"""
217,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 13. Project stakeholder management
Part 1: 10. Project communications management
"""
218,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.2 Develop project management plan"""
219,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 8. Project quality management"""
220,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.15 Program management (PM-4)"""
221,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 11. Project risk management"""
222,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.5 Monitor and control project work"""
223,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.3 Direct and manage project work"""
224,"""PMBOK Guide Sixth Edition, 2017""","""Part 1: 4.7 Close project or phase"""
225,"""CMMI Cybermaturity Platform, 2018""","""TP.SE Safeguard Operational Environment"""
226,"""HITRUST CSF version 9, September 2017""","""09.01 Document Operating Procedures"""
227,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""12.1 Operational procedures and responsibilities"""
228,"""ITIL V3, 2011""","""Service Operation, 4.1 Event Management"""
229,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.13 Physical and environmental protection (PE-13, PE-14, PE-15)"""
230,"""ISF, The Standard of Good Practice for Information Security 2016""","""SC1.2 Outsourcing"""
231,"""ISO/IEC 20000-1:2011(E)""","""4.2 Governance of processes operated by other parties"""
232,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""2.1 System and system elements; 3.2 Categorization (Task 5, 6)"""
233,"""CMMI Cybermaturity Platform, 2018""","""IA.IP Implement Incident Investigation Processes"""
234,"""HITRUST CSF version 9, September 2017""","""11.01 Reporting Information Security Incidents and Weaknesses"""
235,"""ISF, The Standard of Good Practice for Information Security 2016""","""TM2 Security Incident Management"""
236,"""ISO/IEC 20000-1:2011(E)""","""8.1 Incident and service request management"""
237,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""16. Information security incident management"""
238,"""ITIL V3, 2011""","""Service Operation, 4.3 Request Fulfilment"""
239,"""ITIL V3, 2011""","""Service Operation, 4.2 Incident Management"""
240,"""National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity v1.1, April 2018""","""RC.RP Recovery Planning"""
241,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.9 Incident response (IR-4, IR-5, IR-6)"""
242,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 201""","""CSC 19: Incident Response and Management"""
243,"""CMMI Cybermaturity Platform, 2018""","""MI.IM Ensure Incident Mitigation; IR.IR Incident Reporting"""
244,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.9 Incident response (IR-7, IR-8)"""
245,"""ISO/IEC 20000-1:2011(E)""","""8.2 Problem management"""
246,"""CMMI Cybermaturity Platform, 2018""","""MI.IC Ensure Incident Containment"""
247,"""ITIL V3, 2011""","""Service Operation, 4.4 Problem Management"""
248,"""HITRUST CSF version 9, September 2017""","""12.01 Information Security Aspects of Business Continuity Management"""
249,"""ISF, The Standard of Good Practice for Information Security 2016""","""BC1.1 Business Continuity Strategy; BC1.2 Business Continuity Programme"""
250,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""17. Information security aspects of business continuity management"""
251,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.6 Contingency planning (CP-1)"""
252,"""ISF, The Standard of Good Practice for Information Security 2016""","""BC1.3 Resilient Technical Environments"""
253,"""ITIL V3, 2011""","""Service Design, 4.6 IT Continuity Management"""
254,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.6 Contingency planning (CP-2)"""
255,"""ISF, The Standard of Good Practice for Information Security 2016""","""BC1.4 Crisis Management; BC2.1 Business Continuity Planning"""
256,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.6 Contingency planning (CP-6, CP-9, CP-10)"""
257,"""CMMI Cybermaturity Platform, 2018""","""PP.RS Develop and Maintain Response Plans; PP.RP Develop and Maintain Recovery Plans"""
258,"""ISF, The Standard of Good Practice for Information Security 2016""","""BC2.3 Business Continuity Testing"""
259,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 20: Penetration Tests and Red Team Exercises"""
260,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.6 Contingency planning (CP-4)"""
261,"""CMMI Cybermaturity Platform, 2018""","""IP.BP Apply Backup Processes"""
262,"""HITRUST CSF version 9, September 2017""","""09.05 Information Back-Up"""
263,"""ISF, The Standard of Good Practice for Information Security 2016""","""SY2.3 Backup"""
264,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""12.3 Backup"""
265,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.6 Contingency planning (CP-3)"""
266,"""CMMI Cybermaturity Platform, 2018""","""DP.DC Detect Malicious Code; RI.VT Vulnerability and Threat Identification"""
267,"""HITRUST CSF version 9, September 2017""","""09.04 Protection Against Malicious & Mobile Code"""
268,"""SF, The Standard of Good Practice for Information Security 2016""","""TS1 Security Solutions"""
269,"""SO/IEC 27002:2013/Cor.2:2015(E)""","""12.2 Protection against malware"""
270,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 4: Continuous Vulnerability Assessment and Remediation; CSC 8: Malware Defenses"""
271,"""CMMI Cybermaturity Platform, 2018""","""AC.MI Manage Network Integrity & Segregation; CM.MN Monitor Networks; AC.CP Manage Communication Protections"""
272,"""HITRUST CSF version 9, September 2017""","""01.04 Network Access Control"""
273,"""ISF, The Standard of Good Practice for Information Security 2016""","""PA2.3 Mobile Device Connectivity; NC1.1 Network Device Configuration"""
274,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""13.1 Network security management"""
275,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.20 System and information integrity (SI-8)"""
