practice_id,objective_id,practice_name,practice_description,,
"""EDM05.03""",EDM05,"""Monitor stakeholder engagement.""","""Monitor stakeholder engagement levels and the effectiveness of stakeholder communication. Assess mechanisms for ensuring accuracy, reliability and effectiveness, and ascertain whether the requirements of different stakeholders in terms of reporting and communication are met.""",,"""""EDM05.03"""""
"""APO01.01""",APO01,"""Design the management system for enterprise I&T.""","""Design a management system tailored to the needs of the enterprise. Management needs of the enterprise are defined through the use of the goals cascade and by application of design factors. Ensure the governance components are integrated and aligned with the enterprise’s governance and management philosophy and operating style.""",,"""""APO01.01"""""
"""APO01.02""",APO01,"""Communicate management objectives, direction and decisions made.""","""Communicate awareness and promote understanding of alignment and I&T objectives to stakeholders throughout the enterprise. Communicate at regular intervals on important I&T-related decisions and their impact for the organization.""",,"""""APO01.02"""""
"""APO01.03""",APO01,"""Implement management processes (to support the achievement of governance and management objectives).""","""Define target process capability levels and implementation priority based on the management system design.""",,"""""APO01.03"""""
"""APO01.04""",APO01,"""Define and implement the organizational structures.""","""Put in place the required internal and extended organizational structures (e.g., committees) per the management system design, enabling effective and efficient decision making. Ensure that required technology and information knowledge is included in the composition of management structures.""",,"""""APO01.04"""""
"""APO01.05""",APO01,"""Establish roles and responsibilities.""","""Define and communicate roles and responsibilities for enterprise I&T, including authority levels, responsibilities and accountability.""",,"""""APO01.05"""""
"""APO01.06""",APO01,"""Optimize the placement of the IT function.""","""Position the IT capabilities in the overall organizational structure to reflect the strategic importance and operational dependency of IT within the enterprise. The reporting line of the CIO and representation of IT within senior management should be commensurate with the importance of I&T within the enterprise.""",,"""""APO01.06"""""
"""APO01.07""",APO01,"""Define information (data) and system ownership.""","""Define and maintain responsibilities for ownership of information (data) and information systems. Ensure that owners classify information and systems and protect them in line with their classification.""",,"""""APO01.07"""""
"""APO01.08""",APO01,"""Define target skills and competencies.""","""Define the required skills and competencies to achieve relevant management objectives.""",,"""""APO01.08"""""
"""APO01.09""",APO01,"""Define and communicate policies and procedures.""","""Put in place procedures to maintain compliance with and performance measurement of policies and other components of the control framework. Enforce the consequences of noncompliance or inadequate performance. Track trends and performance and consider these in the future design and improvement of the control framework.""",,"""""APO01.09"""""
"""APO01.10""",APO01,"""Define and implement infrastructure, services and applications to support the governance and management system.""","""Define and implement infrastructure, services and applications to support the governance and management system (e.g., architecture repositories, risk management system, project management tools, cost-tracking tools and incident monitoring tools).""",,"""""APO01.10"""""
"""APO01.11""",APO01,"""Manage continual improvement of the I&T management system.""","""Continually improve processes and other management system components to ensure that they can deliver against governance and management objectives. Consider COBIT implementation guidance, emerging standards, compliance requirements, automation opportunities and the feedback of stakeholders.""",,"""""APO01.11"""""
"""APO02.01""",APO02,"""Understand enterprise context and direction.""","""Understand the enterprise context (industry drivers, relevant regulations, basis for competition), its current way of working and its ambition level in terms of digitization.""",,"""""APO02.01"""""
"""APO02.02""",APO02,"""Assess current capabilities, performance and digital maturity of the enterprise.""","""Assess the performance of current I&T services and develop an understanding of current business and I&T capabilities (both internal and external). Assess current digital maturity of the enterprise and its appetite for change. """,,"""""APO02.02"""""
"""APO02.03""",APO02,"""Define target digital capabilities.""","""Based on the understanding of enterprise context and direction, define the target I&T products and services and required capabilities. Consider reference standards, best practices and validated emerging technologies. """,,"""""APO02.03"""""
"""APO02.04""",APO02,"""Conduct a gap analysis.""","""Identify gaps between current and target environments and describe the high-level changes in the enterprise architecture.""",,"""""APO02.04"""""
"""APO02.05""",APO02,"""Define the strategic plan and road map.""","""Develop a holistic digital strategy, in cooperation with relevant stakeholders, and detail a road map that defines the incremental steps required to achieve the goals and objectives. Ensure focus on the transformation journey through the appointment of a person who helps spearhead the digital transformation and drives alignment between business and I&T.""",,"""""APO02.05"""""
"""APO02.06""",APO02,"""Communicate the I&T strategy and direction.""","""Create awareness and understanding of the business and I&T objectives and direction, as captured in the I&T strategy, through communication to appropriate stakeholders and users throughout the enterprise.""",,"""""APO02.06"""""
"""APO03.01""",APO03,"""Develop the enterprise architecture vision.""","""The architecture vision provides a first-cut, high-level description of the baseline and target architectures, covering the business, information, data, application and technology domains. The architecture vision provides the sponsor with a key tool to sell the benefits of the proposed capabilities to stakeholders within the enterprise. The architecture vision describes how the new capabilities (in line with I&T strategy and objectives) will meet enterprise goals and strategic objectives and address stakeholder concerns when implemented.""",,"""""APO03.01"""""
"""APO03.02""",APO03,"""Define reference architecture.""","""The reference architecture describes the current and target architectures for the business, information, data, application and technology domains.""",,"""""APO03.02"""""
"""APO03.03""",APO03,"""Select opportunities and solutions.""","""Rationalize the gaps between baseline and target architectures, accounting for both business and technical perspectives, and logically group them into project work packages. Integrate the project with any related I&T-enabled investment programs to ensure that the architectural initiatives are aligned with and enable these initiatives as part of overall enterprise change. Make this a collaborative effort with key enterprise stakeholders from business and IT to assess the enterprise's transformation readiness, and identify opportunities, solutions and all implementation constraints.""",,"""""APO03.03"""""
"""APO03.04""",APO03,"""Define architecture implementation.""","""Create a viable implementation and migration plan in alignment with the program and project portfolios. Ensure the plan is closely coordinated to deliver value and that the required resources are available to complete the necessary work.""",,"""""APO03.04"""""
"""APO03.05""",APO03,"""Provide enterprise architecture services.""","""Provide enterprise architecture services within the enterprise that include guidance to and monitoring of implementation projects, formalizing ways of working through architecture contracts, and measuring and communicating architecture's value and compliance monitoring.""",,"""""APO03.05"""""
"""APO04.01""",APO04,"""Create an environment conducive to innovation.""","""Create an environment that is conducive to innovation, considering methods such as culture, reward, collaboration, technology forums, and mechanisms to promote and capture employee ideas.""",,"""""APO04.01"""""
"""APO04.02""",APO04,"""Maintain an understanding of the enterprise environment.""","""Work with relevant stakeholders to understand their challenges. Maintain an adequate understanding of enterprise strategy, competitive environment and other constraints, so that opportunities enabled by new technologies can be identified.""",,"""""APO04.02"""""
"""APO04.03""",APO04,"""Monitor and scan the technology environment.""","""Set up a technology watch process to perform systematic monitoring and scanning of the enterprise's external environment to identify emerging technologies that have the potential to create value (e.g., by realizing the enterprise strategy, optimizing costs, avoiding obsolescence, and better enabling enterprise and I&T processes). Monitor the marketplace, competitive landscape, industry sectors, and legal and regulatory trends to be able to analyze emerging technologies or innovation ideas in the enterprise context.""",,"""""APO04.03"""""
"""APO04.04""",APO04,"""Assess the potential of emerging technologies and innovative ideas.""","""Analyze identified emerging technologies and/or other I&T innovative suggestions to understand their business potential. Work with stakeholders to validate assumptions on the potential of new technologies and innovation.""",,"""""APO04.04"""""
"""APO04.05""",APO04,"""Recommend appropriate further initiatives.""","""Evaluate and monitor the results of proof-of-concept initiatives and, if favorable, generate recommendations for further initiatives. Gain stakeholder support.""",,"""""APO04.05"""""
"""APO04.06""",APO04,"""Monitor the implementation and use of innovation.""","""Monitor the implementation and use of emerging technologies and innovations during adoption, integration and for the full economic life cycle to ensure that the promised benefits are realized and to identify lessons learned.""",,"""""APO04.06"""""
"""APO05.01""",APO05,"""Determine the availability and sources of funds.""","""Determine potential sources of funds, different funding options and the implications of the funding source on the investment return expectations.""",,"""""APO05.01"""""
"""APO05.02""",APO05,"""Evaluate and select programs to fund.""","""Based on requirements for the overall investment portfolio mix and the I&T strategic plan and road map, evaluate and prioritize program business cases and decide on investment proposals. Allocate funds and initiate programs.""",,"""""APO05.02"""""
"""APO05.03""",APO05,"""Monitor, optimize and report on investment portfolio performance.""","""On a regular basis, monitor and optimize the performance of the investment portfolio and individual programs throughout the entire investment life cycle. Ensure continuous follow-up on the alignment of the portfolio with I&T strategy.""",,"""""APO05.03"""""
"""APO05.04""",APO05,"""Maintain portfolios.""","""Maintain portfolios of investment programs and projects, I&T products and services, and I&T assets.""",,"""""APO05.04"""""
"""APO05.05""",APO05,"""Manage benefits achievement.""","""Monitor the benefits of providing and maintaining appropriate I&T products, services and capabilities, based on the agreed and current business case.""",,"""""APO05.05"""""
"""APO06.01""",APO06,"""Manage finance and accounting.""","""Establish and maintain a method to manage and account for all I&T-related costs, investments and depreciation as an integral part of enterprise financial systems and accounts. Report using the enterprise’s financial measurement systems.""",,"""""APO06.01"""""
"""APO06.02""",APO06,"""Prioritize resource allocation.""","""Implement a decision-making process to prioritize the allocation of resources and establish rules for discretionary investments by individual business units. Include the potential use of external service providers and consider the buy, develop and rent options.""",,"""""APO06.02"""""
"""APO06.03""",APO06,"""Create and maintain budgets.""","""Prepare a budget reflecting investment priorities based on the portfolio of I&T-enabled programs and I&T services.""",,"""""APO06.03"""""
"""APO06.04""",APO06,"""Model and allocate costs.""","""Establish and use an I&T costing model based, for example, on the service definition. This approach ensures that allocation of costs for services is identifiable, measurable and predictable, and encourages the responsible use of resources, including those provided by service providers. Regularly review and benchmark the cost/chargeback model to maintain its relevance and appropriateness for evolving business and IT activities.""",,"""""APO06.04"""""
"""APO06.05""",APO06,"""Manage costs.""","""Implement a cost management process that compares actual costs against budget. Costs should be monitored and reported. Deviations from budget should be identified in a timely manner and their impact on enterprise processes and services assessed.""",,"""""APO06.05"""""
"""APO07.01""",APO07,"""Acquire and maintain adequate and appropriate staffing.""","""Evaluate internal and external staffing requirements on a regular basis or upon major changes to the enterprise or operational or IT environments to ensure that the enterprise has sufficient human resources to support enterprise goals and objectives.""",,"""""APO07.01"""""
"""APO07.02""",APO07,"""Identify key IT personnel.""","""Identify key IT personnel. Use knowledge capture (documentation), knowledge sharing, succession planning and staff backup to minimize reliance on a single individual performing a critical job function.""",,"""""APO07.02"""""
"""APO07.03""",APO07,"""Maintain the skills and competencies of personnel.""","""Define and manage the skills and competencies required of personnel. Regularly verify that personnel have the competencies to fulfill their roles on the basis of their education, training and/or experience. Verify that these competencies are being maintained, using qualification and certification programs where appropriate. Provide employees with ongoing learning and opportunities to maintain their knowledge, skills and competencies at a level required to achieve enterprise goals.""",,"""""APO07.03"""""
"""APO07.04""",APO07,"""Assess and recognize/reward employee job performance.""","""Conduct timely, regular performance evaluations against individual objectives derived from enterprise goals, established standards, specific job responsibilities, and the skills and competency framework. Implement a remuneration/recognition process that rewards successful attainment of performance goals.""",,"""""APO07.04"""""
"""APO07.05""",APO07,"""Plan and track the usage of IT and business human resources.""","""Understand and track the current and future demand for business and IT human resources with responsibilities for enterprise I&T. Identify shortfalls and provide input into sourcing plans, enterprise and IT recruitment processes, and business and IT recruitment processes.""",,"""""APO07.05"""""
"""APO07.06""",APO07,"""Manage contract staff.""","""Ensure that consultants and contract personnel who support the enterprise with I&T skills know and comply with the organization's policies and meet agreed contractual requirements.""",,"""""APO07.06"""""
"""APO08.01""",APO08,"""Understand business expectations.""","""Understand current business issues, objectives and expectations for I&T. Ensure that requirements are understood, managed and communicated, and their status agreed and approved.""",,"""""APO08.01"""""
"""APO08.02""",APO08,"""Align I&T strategy with business expectations and identify opportunities for IT to enhance the business.""","""Align I&T strategies with current business objectives and expectations to enable IT to be a value-add partner for the business and a governance component for enhanced enterprise performance.""",,"""""APO08.02"""""
"""APO08.03""",APO08,"""Manage the business relationship.""","""Manage the relationship between the IT service organization and its business partners. Ensure that relationship roles and responsibilities are defined and assigned, and communication is facilitated.""",,"""""APO08.03"""""
"""APO08.04""",APO08,"""Coordinate and communicate.""","""Work with all relevant stakeholders and coordinate the end-to-end delivery of I&T services and solutions provided to the business.""",,"""""APO08.04"""""
"""APO08.05""",APO08,"""Provide input to the continual improvement of services.""","""Continually improve and evolve I&T-enabled services and service delivery to the enterprise to align with changing enterprise objectives and technology requirements.""",,"""""APO08.05"""""
"""APO09.01""",APO09,"""Identify I&T services.""","""Analyze business requirements and the degree to which I&T-enabled services and service levels support business processes. Discuss and agree with the business on potential services and service levels. Compare potential service levels against the current service portfolio; identify new or changed services or service level options.""",,"""""APO09.01"""""
"""APO09.02""",APO09,"""Catalog I&T-enabled services.""","""Define and maintain one or more service catalogues for relevant target groups. Publish and maintain live I&T-enabled services in the service catalogs.""",,"""""APO09.02"""""
"""APO09.03""",APO09,"""Define and prepare service agreements.""","""Define and prepare service agreements based on options in the service catalogues. Include internal operational agreements.""",,"""""APO09.03"""""
"""APO09.04""",APO09,"""Monitor and report service levels.""","""Monitor service levels, report on achievements and identify trends. Provide the appropriate management information to aid performance management.""",,"""""APO09.04"""""
"""APO09.05""",APO09,"""Review service agreements and contracts.""","""Conduct periodic reviews of the service agreements and revise when needed.""",,"""""APO09.05"""""
"""APO10.01""",APO10,"""Identify and evaluate vendor relationships and contracts.""","""Continuously search for and identify vendors and categorize them into type, significance and criticality. Establish criteria to evaluate vendors and contracts. Review the overall portfolio of existing and alternative vendors and contracts.""",,"""""APO10.01"""""
"""APO10.02""",APO10,"""Select vendors.""","""Select suppliers according to a fair and formal practice to ensure a viable best fit based on specified requirements. Requirements should be optimized with input from potential suppliers.""",,"""""APO10.02"""""
"""APO10.03""",APO10,"""Manage vendor relationships and contracts.""","""Formalize and manage the supplier relationship for each supplier. Manage, maintain and monitor contracts and service delivery. Ensure that new or changed contracts conform to enterprise standards and legal and regulatory requirements. Deal with contractual disputes.""",,"""""APO10.03"""""
"""APO10.04""",APO10,"""Manage vendor risk.""","""Identify and manage risk relating to vendors' ability to continually provide secure, efficient and effective service delivery. This also includes the subcontractors or upstream vendors that are relevant in the service delivery of the direct vendor. """,,"""""APO10.04"""""
"""APO10.05""",APO10,"""Monitor vendor performance and compliance.""","""Periodically review overall vendor performance, compliance to contract requirements and value for money. Address identified issues.""",,"""""APO10.05"""""
"""APO11.01""",APO11,"""Establish a quality management system (QMS).""","""Establish and maintain a quality management system (QMS) that provides a standard, formal and continuous approach to quality management of information. The QMS should enable technology and business processes to align with business requirements and enterprise quality management.""",,"""""APO11.01"""""
"""APO11.02""",APO11,"""Focus quality management on customers.""","""Focus quality management on customers by determining their requirements and ensuring integration in quality management practices.""",,"""""APO11.02"""""
"""APO11.03""",APO11,"""Manage quality standards, practices and procedures and integrate quality management into key processes and solutions.""","""Identify and maintain standards, procedures and practices for key processes to guide the enterprise in meeting the intent of the agreed quality management standards (QMS). This activity should align with I&T control framework requirements. Consider certification for key processes, organizational units, products or services.""",,"""""APO11.03"""""
"""APO11.04""",APO11,"""Perform quality monitoring, control and reviews.""","""Monitor the quality of processes and services on an ongoing basis, in line with quality management standards. Define, plan and implement measurements to monitor customer satisfaction with quality as well as the value provided by the quality management system (QMS). The information gathered should be used by the process owner to improve quality.""",,"""""APO11.04"""""
"""APO11.05""",APO11,"""Maintain continuous improvement.""","""Maintain and regularly communicate an overall quality plan that promotes continuous improvement. The plan should define the need for, and benefits of, continuous improvement. Collect and analyze data about the quality management system (QMS) and improve its effectiveness. Correct nonconformities to prevent recurrence.""",,"""""APO11.05"""""
"""APO12.01""",APO12,"""Collect data.""","""Identify and collect relevant data to enable effective I&T-related risk identification, analysis and reporting.""",,"""""APO12.01"""""
"""APO12.02""",APO12,"""Analyze risk.""","""Develop a substantiated view on actual I&T risk, in support of risk decisions.""",,"""""APO12.02"""""
"""APO12.03""",APO12,"""Maintain a risk profile.""","""Maintain an inventory of known risk and risk attributes, including expected frequency, potential impact and responses. Document related resources, capabilities and current control activities related to risk items.""",,"""""APO12.03"""""
"""APO12.04""",APO12,"""Articulate risk.""","""Communicate information on the current state of I&T-related exposures and opportunities in a timely manner to all required stakeholders for appropriate response.""",,"""""APO12.04"""""
"""APO12.05""",APO12,"""Define a risk management action portfolio.""","""Manage opportunities to reduce risk to an acceptable level as a portfolio.""",,"""""APO12.05"""""
"""APO12.06""",APO12,"""Respond to risk.""","""Respond in a timely manner to materialized risk events with effective measures to limit the magnitude of loss.""",,"""""APO12.06"""""
"""APO13.01""",APO13,"""Establish and maintain an information security management system (ISMS).""","""Establish and maintain an information security management system (ISMS) that provides a standard, formal and continuous approach to security and privacy management for information. Ensure that the system supports secure technology and business processes that are aligned with business requirements, enterprise security and enterprise privacy management.""",,"""""APO13.01"""""
"""APO13.02""",APO13,"""Define and manage an information security risk treatment plan.""","""Maintain an information security plan that describes how information security risk is to be managed and aligned with enterprise strategy and architecture. Ensure that recommendations for implementing security improvements are based on approved business cases, implemented as an integral part of services and solutions development, and operated as an integral part of business operation.""",,"""""APO13.02"""""
"""APO13.03""",APO13,"""Monitor and review the information security management system (ISMS).""","""Maintain and regularly communicate the need for, and benefits of, continuous improvement in information security. Collect and analyze data about the information security management system (ISMS), and improve its effectiveness. Correct nonconformities to prevent recurrence.""",,"""""APO13.03"""""
"""APO14.01""",APO14,"""Define and communicate the organization's data management strategy and roles and responsibilities.""","""Define how to manage and improve the organization's data assets, in line with enterprise strategy and objectives. Communicate the data management strategy to all stakeholders. Assign roles and responsibilities to ensure that corporate data are managed as critical assets and the data management strategy is implemented and maintained in an effective and sustainable manner.""",,"""""APO14.01"""""
"""APO14.02""",APO14,"""Define and maintain a consistent business glossary.""","""Create, approve, update and promote consistent business terms and definitions to foster shared data usage across the organization.""",,"""""APO14.02"""""
"""APO14.03""",APO14,"""Establish the processes and infrastructure for metadata management.""","""Establish the processes and infrastructure for specifying and extending metadata about the organization's data assets, fostering and supporting data sharing, ensuring compliant use of data, improving responsiveness to business changes and reducing data-related risk.""",,"""""APO14.03"""""
"""APO14.04""",APO14,"""Define a data quality strategy.""","""Define an integrated, organizationwide strategy to achieve and maintain the level of data quality (such as complexity, integrity, accuracy, completeness, validity, traceability and timeliness) required to support the business goals and objectives.""",,"""""APO14.04"""""
"""APO14.05""",APO14,"""Establish data profiling methodologies, processes and tools.""","""Implement standardized data profiling methodologies, processes, practices, tools and templates that can be applied across multiple data repositories and data stores.""",,"""""APO14.05"""""
"""APO14.06""",APO14,"""Ensure a data quality assessment approach.""","""Provide a systematic approach to measure and evaluate data quality according to processes and techniques, and against data quality rules.""",,"""""APO14.06"""""
"""APO14.07""",APO14,"""Define the data cleansing approach.""","""Define the mechanisms, rules, processes, and methods to validate and correct data according to predefined business rules.""",,"""""APO14.07"""""
"""APO14.08""",APO14,"""Manage the life cycle of data assets.""","""Ensure that the organization understands, maps, inventories and controls its data flows through business processes over the data life cycle, from creation or acquisition to retirement.""",,"""""APO14.08"""""
"""APO14.09""",APO14,"""Support data archiving and retention.""","""Ensure that data maintenance satisfies organizational and regulatory requirements for availability of historical data. Ensure that legal and regulatory requirements for data archiving and retention are met.""",,"""""APO14.09"""""
"""APO14.10""",APO14,"""Manage data backup and restore arrangements.""","""Manage availability of critical data to ensure operational continuity.""",,"""""APO14.10"""""
"""BAI01.01""",BAI01,"""Maintain a standard approach for program management.""","""Maintain a standard approach for program management that enables governance and management review, decision-making and delivery-management activities. These activities should focus consistently on business value and goals (i.e., requirements, risk, costs, schedule and quality targets).""",,"""""BAI01.01"""""
"""BAI01.02""",BAI01,"""Initiate a program.""","""Initiate a program to confirm expected benefits and obtain authorization to proceed. This includes agreeing on program sponsorship, confirming the program mandate through approval of the conceptual business case, appointing program board or committee members, producing the program brief, reviewing and updating the business case, developing a benefits realization plan, and obtaining approval from sponsors to proceed.""",,"""""BAI01.02"""""
"""BAI01.03""",BAI01,"""Manage stakeholder engagement.""","""Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information for all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations.""",,"""""BAI01.03"""""
"""BAI01.04""",BAI01,"""Develop and maintain the program plan.""","""Formulate a program to lay the initial groundwork. Position it for successful execution by formalizing the scope of the work and identifying deliverables that will satisfy goals and deliver value. Maintain and update the program plan and business case throughout the full economic life cycle of the program, ensuring alignment with strategic objectives and reflecting the current status and insights gained to date.""",,"""""BAI01.04"""""
"""BAI01.05""",BAI01,"""Launch and execute the program.""","""Launch and execute the program to acquire and direct the resources needed to accomplish the goals and benefits of the program as defined in the program plan. In accordance with stage-gate or release review criteria, prepare for stage-gate, iteration or release reviews to report progress and make the case for funding up to the following stage-gate or release review.""",,"""""BAI01.05"""""
"""BAI01.06""",BAI01,"""Monitor, control and report on the program outcomes.""","""Monitor and control performance against plan throughout the full economic life cycle of the investment, covering solution delivery at the program level and value/outcome at the enterprise level. Report performance to the program steering committee and the sponsors.""",,"""""BAI01.06"""""
"""BAI01.07""",BAI01,"""Manage program quality.""","""Prepare and execute a quality management plan, processes and practices that align with quality management standards (QMS). Describe the approach to program quality and implementation. The plan should be formally reviewed and agreed on by all parties concerned and incorporated into the integrated program plan.""",,"""""BAI01.07"""""
"""BAI01.08""",BAI01,"""Manage program risk.""","""Eliminate or minimize specific risk associated with programs through a systematic process of planning, identifying, analyzing, responding to, monitoring and controlling the areas or events with the potential to cause unwanted change. Define and record any risk faced by program management.""",,"""""BAI01.08"""""
"""BAI01.09""",BAI01,"""Close a program.""","""Remove the program from the active investment portfolio when there is agreement that the desired value has been achieved or when it is clear it will not be achieved within the value criteria set for the program.""",,"""""BAI01.09"""""
"""BAI02.01""",BAI02,"""Define and maintain business functional and technical requirements.""","""Based on the business case, identify, prioritize, specify and agree on business information, functional, technical and control requirements covering the scope/understanding of all initiatives required to achieve the expected outcomes of the proposed I&T-enabled business solution.""",,"""""BAI02.01"""""
"""BAI02.02""",BAI02,"""Perform a feasibility study and formulate alternative solutions.""","""Perform a feasibility study of potential alternative solutions, assess their viability and select the preferred option. If appropriate, implement the selected option as a pilot to determine possible improvements.""",,"""""BAI02.02"""""
"""BAI02.03""",BAI02,"""Manage requirements risk.""","""Identify, document, prioritize and mitigate functional, technical and information processing-related risk associated with the enterprise requirements, assumptions and proposed solution.""",,"""""BAI02.03"""""
"""BAI02.04""",BAI02,"""Obtain approval of requirements and solutions.""","""Coordinate feedback from affected stakeholders. At predetermined key stages, obtain approval and sign-off from the business sponsor or product owner regarding functional and technical requirements, feasibility studies, risk analyses and recommended solutions.""",,"""""BAI02.04"""""
"""BAI03.01""",BAI03,"""Design high-level solutions.""","""Develop and document high-level designs for the solution in terms of technology, business processes and workflows. Use agreed and appropriate phased or rapid Agile development techniques. Ensure alignment with the I&T strategy and enterprise architecture. Reassess and update the designs when significant issues occur during detailed design or building phases, or as the solution evolves. Apply a user-centric approach; ensure that stakeholders actively participate in the design and approve each version.""",,"""""BAI03.01"""""
"""BAI03.02""",BAI03,"""Design detailed solution components.""","""Develop, document and elaborate detailed designs progressively. Use agreed and appropriate phased or rapid Agile development techniques, addressing all components (business processes and related automated and manual controls, supporting I&T applications, infrastructure services and technology products, and partners/suppliers). Ensure that the detailed design includes internal and external service level agreements (SLAs) and operational level agreements (OLAs).""",,"""""BAI03.02"""""
"""BAI03.03""",BAI03,"""Develop solution components.""","""Develop solution components progressively in a separate environment, in accordance with detailed designs following standards and requirements for development and documentation, quality assurance (QA), and approval. Ensure that all control requirements in the business processes, supporting I&T applications and infrastructure services, services and technology products, and partner/vendor services are addressed.""",,"""""BAI03.03"""""
"""BAI03.04""",BAI03,"""Procure solution components.""","""Procure solution components, based on the acquisition plan, in accordance with requirements and detailed designs, architecture principles and standards, and the enterprise's overall procurement and contract procedures, QA requirements, and approval standards. Ensure that all legal and contractual requirements are identified and addressed by the vendor.""",,"""""BAI03.04"""""
"""BAI03.05""",BAI03,"""Build solutions.""","""Install and configure solutions and integrate with business process activities. During configuration and integration of hardware and infrastructure software, implement control, security, privacy and auditability measures to protect resources and ensure availability and data integrity. Update the product or services catalogue to reflect the new solutions.""",,"""""BAI03.05"""""
"""BAI03.06""",BAI03,"""Perform quality assurance (QA).""","""Develop, resource and execute a QA plan aligned with the QMS to obtain the quality specified in the requirements definition and in the enterprise’s quality policies and procedures.""",,"""""BAI03.06"""""
"""BAI03.07""",BAI03,"""Prepare for solution testing.""","""Establish a test plan and required environments to test the individual and integrated solution components. Include the business processes and supporting services, applications and infrastructure.""",,"""""BAI03.07"""""
"""BAI03.08""",BAI03,"""Execute solution testing.""","""During development, execute testing continually (including control testing), in accordance with the defined test plan and development practices in the appropriate environment. Engage business process owners and end users in the test team. Identify, log and prioritize errors and issues identified during testing.""",,"""""BAI03.08"""""
"""BAI03.09""",BAI03,"""Manage changes to requirements.""","""Track the status of individual requirements (including all rejected requirements) throughout the project life cycle. Manage the approval of changes to requirements.""",,"""""BAI03.09"""""
"""BAI03.10""",BAI03,"""Maintain solutions.""","""Develop and execute a plan for the maintenance of solution and infrastructure components. Include periodic reviews against business needs and operational requirements.""",,"""""BAI03.10"""""
"""BAI03.11""",BAI03,"""Define IT products and services and maintain the service portfolio.""","""Define and agree on new or changed IT products or services and service level options. Document new or changed product and service definitions and service level options to be updated in the products and services portfolio.""",,"""""BAI03.11"""""
